day,stage,motor_b,throttle,throttle_name,price,ema30,p_kash,price_over_pkash,supply,tokens_burned_total,vault_core_usd,vault_sociedad_usd,r_op_usd,burned_total_usd,recirculated_total_usd,staking_total_usd,om_total_usd,deferred_queue_usd,fee_total_usd,users,buy_pressure,sell_pressure,lp_depth_usd,burn_cap_hit,jaguar_lock_hit
38,1,0,0,ACELERADO,0.00462361447084162,0.0029498789049933073,0.00022653595228285374,20.410069237348054,8209687671.291425,1790312328.7085752,1863219.094254,800991.372309,522.468954,2660000.0,0.0,1140000.0,1140000.0,0.0,200000.0,0.0,100000.0,150434.99238294145,300000.0,False,False
39,1,0,0,ACELERADO,0.004667665140792287,0.0030607038234319512,0.00023293008796864355,20.038910307802897,8194690879.986014,1805309120.0139856,1912283.271469,822149.014489,549.973475,2730000.0,0.0,1170000.0,1170000.0,0.0,200000.0,0.0,100000.0,151833.72287229227,300000.0,False,False
40,1,0,0,ACELERADO,0.004705782816860405,0.0031668379520402388,0.0002393438781381278,19.66117894247811,8179815565.352029,1820184434.6479712,1961349.095359,843310.714299,578.183713,2800000.0,0.0,1200000.0,1200000.0,0.0,200000.0,0.0,100000.0,153000.2918403168,300000.0,False,False
41,1,0,0,ACELERADO,0.004738889414703478,0.0032682606270507705,0.00024577773788625506,19.281198758923466,8165044171.914822,1834955828.0851784,2010416.565979,864476.472518,607.099693,2870000.0,0.0,1230000.0,1230000.0,0.0,200000.0,0.0,100000.0,153969.74213008344,300000.0,False,False
42,1,0,0,ACELERADO,0.0047677881424258136,0.0033650043377201283,0.00025223203206517627,18.902389610824,8150362311.498855,1849637688.5011454,2059485.683384,885646.289923,636.721438,2940000.0,0.0,1260000.0,1260000.0,0.0,200000.0,0.0,100000.0,154772.9655874939,300000.0,False,False
43,1,0,0,ACELERADO,0.004793170557614614,0.0034571440938423533,0.00025870708160472385,18.527403764455332,8135758199.4276085,1864241800.5723915,2108556.447629,906820.167293,667.048971,3010000.0,0.0,1290000.0,1290000.0,0.0,200000.0,0.0,100000.0,155436.80314095394,300000.0,False,False
44,1,0,0,ACELERADO,0.004815626444539693,0.0035447881164679886,0.00026520316925357984,18.15825375727364,8121222188.213663,1878777811.786337,2157628.858769,927998.105407,698.082317,3080000.0,0.0,1320000.0,1320000.0,0.0,200000.0,0.0,100000.0,155984.3066614724,300000.0,False,False
45,1,0,0,ACELERADO,0.0048356549356718586,0.003628069846739206,0.0002717205447306429,17.796427356884085,8106746382.778577,1893253617.2214231,2206702.91686,949180.105043,729.821499,3150000.0,0.0,1350000.0,1350000.0,0.0,200000.0,0.0,100000.0,156435.0893261769,300000.0,False,False
46,1,0,0,ACELERADO,0.004853675819058939,0.0037071411997920923,0.00027825942930064066,17.4429877587899,8092324323.578592,1907675676.4214077,2255778.621957,970366.16698,762.26654,3220000.0,0.0,1380000.0,1380000.0,0.0,200000.0,0.0,100000.0,156805.71263249285,300000.0,False,False
47,1,0,0,ACELERADO,0.004870040368176206,0.0037821669525910677,0.0002848200198056008,17.098658905719375,8077950726.091101,1922049273.9088993,2304855.974115,991556.291998,795.417465,3290000.0,0.0,1410000.0,1410000.0,0.0,200000.0,0.0,100000.0,157110.07555734357,300000.0,False,False
48,1,0,0,ACELERADO,0.004885041316846734,0.003853320137381756,0.00029140249219235617,16.763896835934045,8063621266.940245,1936378733.0597553,2353934.97339,1012750.480875,829.274297,3360000.0,0.0,1440000.0,1440000.0,0.0,200000.0,0.0,100000.0,157359.78451280782,300000.0,False,False
49,1,0,0,ACELERADO,0.004898921799060779,0.003920778309102983,0.0002980070045810607,16.43894849366947,8049332408.51972,1950667591.48028,2403015.619837,1033948.734391,863.83706,3430000.0,0.0,1470000.0,1470000.0,0.0,200000.0,0.0,100000.0,157564.49220962843,300000.0,False,False
50,1,0,0,ACELERADO,0.004911883202968267,0.003984720560320098,0.00030463369992219557,16.123899634947733,8035081255.325015,1964918744.674985,2452097.913511,1055151.053326,899.105777,3500000.0,0.0,1500000.0,1500000.0,0.0,200000.0,0.0,100000.0,157732.20001593465,300000.0,False,False
51,1,0,0,ACELERADO,0.004924091968425182,0.00404532516729462,0.00031128270828753785,15.818713463122094,8020865436.358013,1979134563.6419868,2501181.854468,1076357.438459,935.080472,3570000.0,0.0,1530000.0,1530000.0,0.0,200000.0,0.0,100000.0,157869.52261006448,300000.0,False,False
52,1,0,0,ACELERADO,0.004935685403120663,0.004102767763154365,0.00031795414883820626,15.523261517912225,8006683008.93755,1993316991.0624504,2550267.442763,1097567.89057,971.761169,3640000.0,0.0,1560000.0,1560000.0,0.0,200000.0,0.0,100000.0,157981.91629995857,300000.0,False,False
53,1,0,1,NORMAL,0.004946776614812309,0.004157219947132296,0.0003246481315106944,15.237348176911821,7992532380.063305,2007467619.936695,2599354.67845,1118782.410439,1009.147892,3710000.0,0.0,1590000.0,1590000.0,0.0,200000.0,0.0,100000.0,158073.87381850916,300000.0,False,False
54,1,0,1,NORMAL,0.004957458664790893,0.0042088482514973675,0.0003313647584578222,14.960729945643582,7978412242.15935,2021587757.8406496,2648443.561586,1140000.998846,1047.240664,3780000.0,0.0,1620000.0,1620000.0,0.0,200000.0,0.0,100000.0,158149.08908330929,300000.0,False,False
55,1,0,1,NORMAL,0.004967808046169431,0.004257813399540727,0.0003381041252757973,14.693130532249805,7964321520.587695,2035678479.4123049,2697534.092225,1161223.656571,1086.039509,3850000.0,0.0,1650000.0,1650000.0,0.0,200000.0,0.0,100000.0,158210.59560466645,300000.0,False,False
56,1,0,1,NORMAL,0.004977887583880884,0.004304269798530415,0.0003448663220492791,14.43425253675416,7950259330.789221,2049740669.2107792,2746626.270423,1182450.384395,1125.544451,3920000.0,0.0,1680000.0,1680000.0,0.0,200000.0,0.0,100000.0,158260.88212902364,300000.0,False,False
57,1,0,1,NORMAL,0.0049877488439648504,0.004348365220816508,0.0003516514342378652,14.183786438337178,7936224943.295011,2063775056.7049894,2795720.096235,1203681.183098,1165.755513,3990000.0,0.0,1710000.0,1710000.0,0.0,200000.0,0.0,100000.0,158301.98884547522,300000.0,False,False
58,1,0,1,NORMAL,0.004997434129471155,0.004390240634278099,0.00035845954342819724,13.941417437731541,7922217755.16877,2077782244.8312302,2844815.569717,1224916.053461,1206.672719,4060000.0,0.0,1740000.0,1740000.0,0.0,200000.0,0.0,100000.0,158335.5871454588,300000.0,False,False
59,1,0,1,NORMAL,0.0050069781301042195,0.004430030150137849,0.0003652907279701945,13.706830605655993,7908237266.702258,2091762733.297742,2893912.690924,1246154.996265,1248.296093,4130000.0,0.0,1770000.0,1770000.0,0.0,200000.0,0.0,100000.0,158363.0455631311,300000.0,False,False
60,1,0,1,NORMAL,0.0050164092831414256,0.004467861061944532,0.00037214506351530326,13.479714699843498,7894283062.40014,2105716937.5998602,2943011.459911,1267398.012291,1290.625658,4200000.0,0.0,1800000.0,1800000.0,0.0,200000.0,0.0,100000.0,158385.48416821353,300000.0,False,False
61,1,0,1,NORMAL,0.005025750894465688,0.004503853954365252,0.0003790226234709264,13.259764940789076,7880354795.466519,2119645204.5334806,2992111.876733,1288645.10232,1333.661439,4270000.0,0.0,1830000.0,1830000.0,0.0,200000.0,0.0,100000.0,158403.81935188072,300000.0,False,False
62,1,0,1,NORMAL,0.005035022060865736,0.004538122864462058,0.0003859234793838948,13.046684977301371,7866452175.149507,2133547824.8504934,3041213.941446,1309896.267134,1377.403458,4340000.0,0.0,1860000.0,1860000.0,0.0,200000.0,0.0,100000.0,158418.80064809136,300000.0,False,False
63,1,0,1,NORMAL,0.005044238428079597,0.004570775481469641,0.00039284770126327845,12.840188225255906,7852574956.418066,2147425043.581934,3090317.654105,1331151.507513,1421.85174,4410000.0,0.0,1890000.0,1890000.0,0.0,200000.0,0.0,100000.0,158431.0409704921,300000.0,False,False
64,1,0,1,NORMAL,0.005053412813330296,0.004601913373847748,0.0003997953578525331,12.639998724533157,7838722931.541858,2161277068.4581423,3139423.014765,1352410.82424,1467.006308,4480000.0,0.0,1920000.0,1920000.0,0.0,200000.0,0.0,100000.0,158441.0414181579,300000.0,False,False
65,1,0,1,NORMAL,0.00506255571624025,0.004631632234647264,0.00040676651685848323,12.445851628445482,7824895923.223619,2175104076.7763805,3188530.023482,1373674.218096,1512.867186,4550000.0,0.0,1950000.0,1950000.0,0.0,200000.0,0.0,100000.0,158449.21160959857,300000.0,False,False
66,1,0,1,NORMAL,0.005071675737913154,0.004660022138083773,0.0004137612451434614,12.257493415447057,7811093778.99805,2188906221.0019503,3237638.680311,1394941.689863,1559.434398,4620000.0,0.0,1980000.0,1980000.0,0.0,200000.0,0.0,100000.0,158455.88634040306,300000.0,False,False
67,1,0,1,NORMAL,0.00508077992453905,0.004687167801726049,0.00042077960888706683,12.074681893396317,7797316366.663791,2202683633.3362093,3286748.985307,1416213.240324,1606.707967,4690000.0,0.0,2010000.0,2010000.0,0.0,200000.0,0.0,100000.0,158461.3392220351,300000.0,False,False
68,1,0,1,NORMAL,0.005089874049015547,0.0047131488499382755,0.000427821673721994,11.89718605122151,7783563570.558052,2216436429.441948,3335860.938526,1437488.87026,1654.687918,4760000.0,0.0,2040000.0,2040000.0,0.0,200000.0,0.0,100000.0,158465.79384410064,300000.0,False,False
69,1,0,1,NORMAL,0.005098962841699439,0.00473804007521319,0.0004348875048476427,11.724785800607895,7769835288.518509,2230164711.481491,3384974.540023,1458768.580454,1703.374273,4830000.0,0.0,2070000.0,2070000.0,0.0,200000.0,0.0,100000.0,158469.4329065849,300000.0,False,False
70,1,0,1,NORMAL,0.005108050179432514,0.004761911694840242,0.00044197716712560906,11.557271640642957,7756131429.40572,2243868570.5942802,3434089.789852,1480052.371688,1752.767057,4900000.0,0.0,2100000.0,2100000.0,0.0,200000.0,0.0,100000.0,158472.40568912367,300000.0,False,False
