day,stage,motor_b,throttle,throttle_name,price,ema30,p_kash,price_over_pkash,supply,tokens_burned_total,vault_core_usd,vault_sociedad_usd,r_op_usd,burned_total_usd,recirculated_total_usd,staking_total_usd,om_total_usd,deferred_queue_usd,fee_total_usd,users,buy_pressure,sell_pressure,lp_depth_usd,burn_cap_hit,jaguar_lock_hit
11,1,0,0,ACELERADO,0.0015043808606343978,0.00040774731985579167,8.162036634355981e-05,18.431439700994428,9181960365.511719,818039634.4882812,754751.97069,323772.369498,65.130292,1078000.0,0.0,462000.0,462000.0,0.0,280000.0,0.0,140000.0,44567.87453499545,300000.0,False,False
12,1,0,0,ACELERADO,0.0018595229006456025,0.0005014102605519085,8.967361771977245e-05,20.73656609301255,9129258675.220098,870741324.7799015,823379.603735,353240.101185,76.973025,1176000.0,0.0,504000.0,504000.0,0.0,280000.0,0.0,140000.0,55252.661747917795,300000.0,False,False
13,1,0,0,ACELERADO,0.0022710570638100696,0.000615581022052435,9.770886900786546e-05,23.243100517592236,9086106963.375576,913893036.624424,892009.540036,382713.484218,89.802868,1274000.0,0.0,546000.0,546000.0,0.0,280000.0,0.0,140000.0,67904.26228995725,300000.0,False,False
14,1,0,0,ACELERADO,0.0027348894739911756,0.0007523105995968699,0.00010572644406918938,25.867601034623018,9050273705.420553,949726294.5794468,960641.77967,412192.51968,103.619854,1372000.0,0.0,588000.0,588000.0,0.0,280000.0,0.0,140000.0,82540.26960683185,300000.0,False,False
15,1,0,0,ACELERADO,0.003240916067212966,0.000912865791055973,0.0001137287507778386,28.49689322222378,9020035341.338427,979964658.6615734,1029276.322715,441677.208656,118.424016,1470000.0,0.0,630000.0,630000.0,0.0,280000.0,0.0,140000.0,99005.99317477514,300000.0,False,False
16,1,0,0,ACELERADO,0.003772788761423138,0.0010973769504345,0.00012171938664323321,30.9957917589694,8994059861.077763,1005940138.9222374,1097913.169248,471167.55223,134.215387,1568000.0,0.0,672000.0,672000.0,0.0,280000.0,0.0,140000.0,116932.70985828999,300000.0,False,False
17,1,0,0,ACELERADO,0.0043092068461538765,0.0013045917824163953,0.00012970253004378064,33.22376860882605,8971317856.92276,1028682143.07724,1166552.319347,500663.551486,150.994,1666000.0,0.0,714000.0,714000.0,0.0,280000.0,0.0,140000.0,135730.75185376452,300000.0,False,False
18,1,0,0,ACELERADO,0.004826843566605545,0.0015318338330092439,0.0001376825336909512,35.05777702667871,8951014733.639874,1048985266.3601265,1235193.773088,530165.207509,168.759889,1764000.0,0.0,756000.0,756000.0,0.0,280000.0,0.0,140000.0,154637.05731229633,300000.0,False,False
19,1,0,0,ACELERADO,0.005304263332704159,0.0017752163813766577,0.00014566365594840248,36.41445972345398,8932539029.502832,1067460970.4971676,1303837.53055,559672.521384,187.513087,1862000.0,0.0,798000.0,798000.0,0.0,280000.0,0.0,140000.0,172820.5915266443,300000.0,False,False
20,1,0,0,ACELERADO,0.005725549940358942,0.0020300766109884183,0.00015364988468294323,37.26361365108489,8915422769.751223,1084577230.2487774,1372483.591809,589185.494196,207.253626,1960000.0,0.0,840000.0,840000.0,0.0,280000.0,0.0,140000.0,189522.1569685627,300000.0,False,False
21,1,0,0,ACELERADO,0.006082366639564432,0.002291514677348161,0.0001616448253953316,37.62796999340317,8899310620.351591,1100689379.648409,1441131.956942,618704.12703,227.98154,2058000.0,0.0,882000.0,882000.0,0.0,280000.0,0.0,140000.0,204182.79323049544,300000.0,False,False
22,1,0,0,ACELERADO,0.006373906271471859,0.0025548947801948513,0.00016965163824873345,37.570555387899084,8883935433.484062,1116064566.5159378,1509782.626027,648228.420972,249.696862,2156000.0,0.0,924000.0,924000.0,0.0,280000.0,0.0,140000.0,216515.4801293919,300000.0,False,False
23,1,0,0,ACELERADO,0.006605161778951315,0.00281620232850172,0.00017767301563142678,37.17594230883868,8869098552.378092,1130901447.6219082,1578435.599142,677758.377107,272.399625,2254000.0,0.0,966000.0,966000.0,0.0,280000.0,0.0,140000.0,226501.48709934053,300000.0,False,False
24,1,0,0,ACELERADO,0.006784501540992304,0.0030722216325333707,0.00018571119337966558,36.53253967908201,8854653865.556536,1145346134.4434643,1647090.876364,707293.996521,296.089863,2352000.0,0.0,1008000.0,1008000.0,0.0,280000.0,0.0,140000.0,234327.32308768085,300000.0,False,False
25,1,0,0,ACELERADO,0.006921453988570374,0.003320559203890597,0.00019376798730021968,35.720317298060344,8840494990.822725,1159505009.1772747,1715748.457769,736835.280301,320.767608,2450000.0,0.0,1050000.0,1050000.0,0.0,280000.0,0.0,140000.0,240297.65118328712,300000.0,False,False
26,1,0,0,ACELERADO,0.007025167107548491,0.0035595661654169125,0.00020184484525904777,34.80478829435742,8826545144.719463,1173454855.2805367,1784408.343436,766382.229532,346.432893,2548000.0,0.0,1092000.0,1092000.0,0.0,280000.0,0.0,140000.0,244756.31726066544,300000.0,False,False
27,1,0,0,ACELERADO,0.0071035881938604235,0.003788212747897139,0.00020994290552624783,33.835809674322654,8812749299.954039,1187250700.0459614,1853070.533441,795934.845302,373.085752,2646000.0,0.0,1134000.0,1134000.0,0.0,280000.0,0.0,140000.0,248031.81849590005,300000.0,False,False
28,1,0,0,ACELERADO,0.007163187331112911,0.00400595304358848,0.00021806305415632583,32.849156216888254,8799068239.349308,1200931760.650692,1921735.027862,825493.128696,400.726218,2744000.0,0.0,1176000.0,1176000.0,0.0,280000.0,0.0,140000.0,250408.56753042087,300000.0,False,False
29,1,0,0,ACELERADO,0.007209004896904521,0.0042126015502540306,0.00022620597688684254,31.869206093129712,8785474130.120436,1214525869.8795643,1990401.826776,855057.080802,429.354324,2842000.0,0.0,1218000.0,1218000.0,0.0,280000.0,0.0,140000.0,252117.4965508198,300000.0,False,False
30,1,0,0,ACELERADO,0.007244849596697506,0.00440823045647619,0.0002343722034536084,30.9117271158461,8771947279.260113,1228052720.7398872,2059070.930261,884626.702707,458.970103,2940000.0,0.0,1260000.0,1260000.0,0.0,280000.0,0.0,140000.0,253338.10410266483,300000.0,False,False
31,1,0,0,ACELERADO,0.007273538858376559,0.0045930890630504085,0.000242562143918114,29.986290279624242,8758473782.808363,1241526217.191637,2127742.338394,914201.995499,489.573588,3038000.0,0.0,1302000.0,1302000.0,0.0,280000.0,0.0,140000.0,254205.75483359766,300000.0,False,False
32,1,0,0,ACELERADO,0.007297125995477778,0.004767543058690884,0.0002507761175883465,29.098169577121144,8745043837.91489,1254956162.0851097,2196416.051252,943782.960265,521.164813,3136000.0,0.0,1344000.0,1344000.0,0.0,280000.0,0.0,140000.0,254820.39759731587,300000.0,False,False
33,1,0,0,ACELERADO,0.0073170918708614155,0.004932030078830919,0.0002590143755589307,28.249751987980442,8731650538.810602,1268349461.1893978,2265092.068913,973369.598092,553.74381,3234000.0,0.0,1386000.0,1386000.0,0.0,280000.0,0.0,140000.0,255254.746884966,300000.0,False,False
34,1,0,0,ACELERADO,0.007334496675161337,0.005087027923755463,0.00026727711800659154,27.441543555481076,8718289022.08487,1281710977.9151306,2333770.391454,1002961.910069,587.310613,3332000.0,0.0,1428000.0,1428000.0,0.0,280000.0,0.0,140000.0,255561.15670693503,300000.0,False,False
35,1,0,0,ACELERADO,0.007350095521727013,0.005233032284914918,0.0002755645073095414,26.6728672479967,8704955862.031328,1295044137.9686718,2402451.018953,1032559.897284,621.865255,3430000.0,0.0,1470000.0,1470000.0,0.0,280000.0,0.0,140000.0,255777.04738230823,300000.0,False,False
36,1,0,0,ACELERADO,0.007364424289470128,0.005370541446499125,0.00028387667791222475,25.94233645268747,8691648643.95861,1308351356.0413895,2471133.951486,1062163.560825,657.407769,3528000.0,0.0,1512000.0,1512000.0,0.0,280000.0,0.0,140000.0,255929.0283933911,300000.0,False,False
37,1,0,0,ACELERADO,0.007377862308025447,0.005500046018210501,0.00029221374369491765,25.24817010567517,8678365663.617083,1321634336.3829174,2539819.189132,1091772.901781,693.938188,3626000.0,0.0,1554000.0,1554000.0,0.0,280000.0,0.0,140000.0,256035.95355643556,300000.0,False,False
38,1,0,0,ACELERADO,0.007390677613174292,0.005622022250143649,0.0003005758034491246,24.58839842850237,8665105715.730124,1334894284.2698765,2608506.731967,1121387.921241,731.456545,3724000.0,0.0,1596000.0,1596000.0,0.0,280000.0,0.0,140000.0,256111.1476994509,300000.0,False,False
39,1,0,0,ACELERADO,0.007403059364162623,0.005736927870402937,0.0003089629449308362,23.96099430570827,8651867945.34638,1348132054.6536198,2677196.580069,1151008.620294,769.962874,3822000.0,0.0,1638000.0,1638000.0,0.0,280000.0,0.0,140000.0,256164.0113161409,300000.0,False,False
