day,stage,motor_b,throttle,throttle_name,price,ema30,p_kash,price_over_pkash,supply,tokens_burned_total,vault_core_usd,vault_sociedad_usd,r_op_usd,burned_total_usd,recirculated_total_usd,staking_total_usd,om_total_usd,deferred_queue_usd,fee_total_usd,users,buy_pressure,sell_pressure,lp_depth_usd,burn_cap_hit,kash_lock_hit
27,1,0,0,ACELERADO,0.002189660852888375,0.0015425467852449475,7.260504607793705e-05,30.15852163412869,9099234917.30635,900765082.6936493,661810.904785,284262.444739,133.244902,945000.0,0.0,405000.0,405000.0,0.0,100000.0,0.0,50000.0,79695.3041054507,60000.0,False,False
28,1,0,0,ACELERADO,0.002193531666533107,0.0015845458098441836,7.542765350530982e-05,29.081266148345584,9083278913.327015,916721086.6729851,686333.938506,294818.974522,143.116497,980000.0,0.0,420000.0,420000.0,0.0,100000.0,0.0,50000.0,79696.95395864283,60000.0,False,False
29,1,0,0,ACELERADO,0.0021973979889117834,0.0016240846601066094,7.826004266124948e-05,28.0781598653514,9067350983.941162,932649016.0588379,710857.795261,305377.528845,153.34082,1015000.0,0.0,435000.0,435000.0,0.0,100000.0,0.0,50000.0,79697.83972934094,60000.0,False,False
30,1,0,0,ACELERADO,0.002201265030554866,0.0016613221033613358,8.110223993528073e-05,27.141852460689947,9051451035.723124,948548964.2768764,735382.475077,315938.108097,163.917884,1050000.0,0.0,450000.0,450000.0,0.0,100000.0,0.0,50000.0,79698.31526747836,60000.0,False,False
31,1,0,0,ACELERADO,0.002205135599349844,0.0016964068450380139,8.395427152860809e-05,26.265913088155695,9035578995.921888,964421004.0781116,759907.977981,326500.712665,174.8477,1085000.0,0.0,465000.0,465000.0,0.0,100000.0,0.0,50000.0,79698.57056286774,60000.0,False,False
32,1,0,0,ACELERADO,0.002209011210926986,0.0017294780944502057,8.681616356351331e-05,25.44469969939306,9019734802.906086,980265197.093914,784434.304001,337065.342938,186.13028,1120000.0,0.0,480000.0,480000.0,0.0,100000.0,0.0,50000.0,79698.7076185803,60000.0,False,False
33,1,0,0,ACELERADO,0.0022128926859203107,0.0017606661326095673,8.968794214485764e-05,24.673246291527153,9003918401.04318,996081598.9568195,808961.453165,347631.999305,197.765636,1155000.0,0.0,495000.0,495000.0,0.0,100000.0,0.0,50000.0,79698.7811968314,60000.0,False,False
34,1,0,0,ACELERADO,0.0022167804711992504,0.0017900928641314824,9.256963339477101e-05,23.947167012594758,8988129737.955101,1011870262.044899,833489.425501,358200.682154,209.75378,1190000.0,0.0,510000.0,510000.0,0.0,100000.0,0.0,50000.0,79698.82069716702,60000.0,False,False
35,1,0,0,ACELERADO,0.002220674812632634,0.001817872344679944,9.546126347206116e-05,23.26257512066728,8972368763.04743,1027631236.95257,858018.221036,368771.391873,222.094723,1225000.0,0.0,525000.0,525000.0,0.0,100000.0,0.0,50000.0,79698.84190281642,60000.0,False,False
36,1,0,0,ACELERADO,0.0022245758480019555,0.0018441112803781383,9.836285858331643e-05,22.61601462220285,8956635426.72112,1043364573.2788792,882547.839797,379344.128852,234.788478,1260000.0,0.0,540000.0,540000.0,0.0,100000.0,0.0,50000.0,79698.85328700501,60000.0,False,False
37,1,0,1,NORMAL,0.0022284836569699206,0.0018689094982227694,0.00010127444498933532,22.00440256379179,8940929679.949978,1059070320.0500221,907078.281813,389918.893479,247.835056,1295000.0,0.0,555000.0,555000.0,0.0,100000.0,0.0,50000.0,79698.85939856997,60000.0,False,False
38,1,0,1,NORMAL,0.002232398287953246,0.0018923603878828004,0.00010419604900820696,21.424980209925348,8925251474.054161,1074748525.945839,931609.547111,400495.686143,261.234469,1330000.0,0.0,570000.0,570000.0,0.0,100000.0,0.0,50000.0,79698.86267954332,60000.0,False,False
39,1,0,1,NORMAL,0.0022363197725746467,0.0019145513159274357,0.00010712769701755945,20.875271613540693,8909600760.578733,1090399239.4212666,956141.635718,411074.507233,274.986729,1365000.0,0.0,585000.0,585000.0,0.0,100000.0,0.0,50000.0,79698.86444092277,60000.0,False,False
40,1,0,1,NORMAL,0.0022402481334350037,0.0019355640138311498,0.00011006941545586148,20.353048339148827,8893977491.228506,1106022508.771494,980674.547662,421655.357138,289.091848,1400000.0,0.0,600000.0,600000.0,0.0,100000.0,0.0,50000.0,79698.86538651332,60000.0,False,False
41,1,0,1,NORMAL,0.002244183388293172,0.0019554749412157967,0.00011302123082314577,19.85629931605366,8878381617.833054,1121618382.1669464,1005208.282972,432238.236247,303.549838,1435000.0,0.0,615000.0,615000.0,0.0,100000.0,0.0,50000.0,79698.8658941504,60000.0,False,False
42,1,0,1,NORMAL,0.002248125552313863,0.0019743556258027687,0.00011598316968102226,19.383204981349227,8862813092.327894,1137186907.6721058,1029742.841674,442823.144949,318.36071,1470000.0,0.0,630000.0,630000.0,0.0,100000.0,0.0,50000.0,79698.86616667359,60000.0,False,False
43,1,0,1,NORMAL,0.0022520746392765433,0.0019922729815107544,0.00011895525865355745,18.932115021795155,8847271866.744339,1152728133.255661,1054278.223796,453410.083634,333.524476,1505000.0,0.0,645000.0,645000.0,0.0,100000.0,0.0,50000.0,79698.86631297674,60000.0,False,False
44,1,0,1,NORMAL,0.0022560306622255904,0.002009289606073002,0.00012193752442728848,18.501529146352848,8831757893.203983,1168242106.7960167,1078814.429366,463999.052691,349.041148,1540000.0,0.0,660000.0,660000.0,0.0,100000.0,0.0,50000.0,79698.86639151907,60000.0,False,False
45,1,0,1,NORMAL,0.002259993633819953,0.0020254640594760316,0.0001249299937513036,18.090080419910137,8816271123.915682,1183728876.0843182,1103351.458411,474590.052509,364.910739,1575000.0,0.0,675000.0,675000.0,0.0,100000.0,0.0,50000.0,79698.86643368428,60000.0,False,False
46,1,0,1,NORMAL,0.002263963566521218,0.002040851124446689,0.0001279326934376374,17.696520769531197,8800811511.173864,1199188488.8261356,1127889.310959,485183.083477,381.133259,1610000.0,0.0,690000.0,690000.0,0.0,100000.0,0.0,50000.0,79698.8664563205,60000.0,False,False
47,1,0,1,NORMAL,0.002267940472694759,0.002055502050140113,0.00013094565036131397,17.31970834034507,8785379007.357565,1214620992.642435,1152427.987038,495778.145986,397.708721,1645000.0,0.0,705000.0,705000.0,0.0,100000.0,0.0,50000.0,79698.8664684727,60000.0,False,False
48,1,0,1,NORMAL,0.002271924364664163,0.0020694647801094064,0.00013396889146038152,16.958596431590514,8769973564.92983,1230026435.0701694,1176967.486675,506375.240424,414.637137,1680000.0,0.0,720000.0,720000.0,0.0,100000.0,0.0,50000.0,79698.86647499652,60000.0,False,False
49,1,0,1,NORMAL,0.002275915254740504,0.0020827841655694772,0.00013700244373628432,16.612223787200527,8754595136.437338,1245404863.5626621,1201507.809898,516974.367182,431.918518,1715000.0,0.0,735000.0,735000.0,0.0,100000.0,0.0,50000.0,79698.86647849884,60000.0,False,False
50,1,0,1,NORMAL,0.0022799131552381155,0.002095502164902938,0.00014004633425389193,16.279706051461723,8739243674.51012,1260756325.4898796,1226048.956735,527575.526649,449.552876,1750000.0,0.0,750000.0,750000.0,0.0,100000.0,0.0,50000.0,79698.86648037905,60000.0,False,False
51,1,0,1,NORMAL,0.0022839180784830814,0.0021076580302952052,0.0001431005901415264,15.960228229836703,8723919131.861355,1276080868.1386452,1250590.927213,538178.719215,467.540223,1785000.0,0.0,765000.0,765000.0,0.0,100000.0,0.0,50000.0,79698.86648138845,60000.0,False,False
