day,stage,motor_b,throttle,throttle_name,price,ema30,p_kash,price_over_pkash,supply,tokens_burned_total,vault_core_usd,vault_sociedad_usd,r_op_usd,burned_total_usd,recirculated_total_usd,staking_total_usd,om_total_usd,deferred_queue_usd,fee_total_usd,users,buy_pressure,sell_pressure,lp_depth_usd,burn_cap_hit,kash_lock_hit
14,1,0,0,ACELERADO,0.0009525333575006421,0.0003338373605311612,0.00010467082509659772,9.100275617599998,6482041432.446874,3517958567.5531263,686172.699762,294423.228339,74.014178,980000.0,0.0,420000.0,420000.0,0.0,200000.0,0.0,100000.0,21502.99260907104,300000.0,False,False
15,1,0,0,ACELERADO,0.0011028935898185588,0.0003834538914529288,0.00011342065320438317,9.723922042938272,6418572027.378053,3581427972.6219473,735197.373366,315483.720464,84.588579,1050000.0,0.0,450000.0,450000.0,0.0,200000.0,0.0,100000.0,24697.442756427572,300000.0,False,False
16,1,0,0,ACELERADO,0.0012723325925376847,0.0004408009044261389,0.0001221803991562202,10.413557340820901,6363554966.264823,3636445033.735177,784223.692318,336548.251588,95.86813,1120000.0,0.0,480000.0,480000.0,0.0,200000.0,0.0,100000.0,28316.00777913586,300000.0,False,False
17,1,0,0,ACELERADO,0.0014617609392307772,0.0005066692937683736,0.00013094122091996145,11.163489457031158,6315667518.925564,3684332481.074436,833251.656674,357616.822485,107.852854,1190000.0,0.0,510000.0,510000.0,0.0,200000.0,0.0,100000.0,32386.23355193512,300000.0,False,False
18,1,0,0,ACELERADO,0.001671646448640205,0.0005818291102117176,0.00013969723134492926,11.966210300279387,6273792635.599044,3726207364.400956,882281.266489,378689.43393,120.542774,1260000.0,0.0,540000.0,540000.0,0.0,200000.0,0.0,100000.0,36927.98433733578,300000.0,False,False
19,1,0,0,ACELERADO,0.0019018734629202667,0.000666993261999366,0.00014844490022406916,12.811982493500931,6236986822.086867,3763013177.9131327,931312.521818,399766.086698,133.937915,1330000.0,0.0,570000.0,570000.0,0.0,200000.0,0.0,100000.0,41950.252715216855,300000.0,False,False
20,1,0,0,ACELERADO,0.002151610092704556,0.0007627749930126041,0.00015718253872933164,13.688607590246578,6204453046.456539,3795546953.543461,980345.422717,420846.781563,148.0383,1400000.0,0.0,600000.0,600000.0,0.0,200000.0,0.0,100000.0,47447.83890204168,300000.0,False,False
21,1,0,0,ACELERADO,0.0024192030477736353,0.0008696413191262191,0.00016590986530680494,14.581429761876912,6175517897.724637,3824482102.275363,1029379.96924,441931.519301,162.843953,1470000.0,0.0,630000.0,630000.0,0.0,200000.0,0.0,100000.0,53398.25517786967,300000.0,False,False
22,1,0,0,ACELERADO,0.002702122680019638,0.000987865923054827,0.00017462764731705194,15.473624718276685,6149612338.174139,3850387661.825861,1078416.161444,463020.300688,178.354897,1540000.0,0.0,660000.0,660000.0,0.0,200000.0,0.0,100000.0,59759.326879024295,300000.0,False,False
23,1,0,0,ACELERADO,0.002996980020358342,0.0011174861873969892,0.00018333741012978202,16.346800242442725,6126255492.44127,3873744507.55873,1127453.999383,484113.126499,194.571156,1610000.0,0.0,690000.0,690000.0,0.0,200000.0,0.0,100000.0,66468.02788923575,300000.0,False,False
24,1,0,0,ACELERADO,0.0032996313320736146,0.0012582697451180619,0.00019204120438065105,17.1818925147611,6105041001.19809,3894958998.8019104,1176493.483112,505209.997509,211.492754,1680000.0,0.0,720000.0,720000.0,0.0,200000.0,0.0,100000.0,73441.06124182817,300000.0,False,False
25,1,0,0,ACELERADO,0.003605373649077966,0.0014096958034380558,0.00020074142212091515,17.960287473236566,6085625537.833314,3914374462.166686,1225534.612687,526310.914494,229.119714,1750000.0,0.0,750000.0,750000.0,0.0,200000.0,0.0,100000.0,80577.53828458914,300000.0,False,False
26,1,0,0,ACELERADO,0.003909218489901998,0.00157095533159702,0.00020944065326385368,18.66504152361079,6067719145.499189,3932280854.5008106,1274577.388163,547415.878231,247.45206,1820000.0,0.0,780000.0,780000.0,0.0,200000.0,0.0,100000.0,87763.81580904062,300000.0,False,False
27,1,0,0,ACELERADO,0.004206214121865596,0.00174097202774338,0.00021814157475907796,19.282037944903735,6051077101.615567,3948922898.384433,1323621.809595,568524.889495,266.489816,1890000.0,0.0,810000.0,810000.0,0.0,200000.0,0.0,100000.0,94880.15950047113,300000.0,False,False
28,1,0,0,ACELERADO,0.0044917743303258,0.0019184431440390202,0.000226846866101163,19.80090978344255,6035493059.57512,3964506940.42488,1372667.877038,589637.949062,286.233006,1960000.0,0.0,840000.0,840000.0,0.0,200000.0,0.0,100000.0,101808.50382925177,300000.0,False,False
29,1,0,0,ACELERADO,0.004761968002957333,0.0021018963607434276,0.00023555914595784234,20.215593767730738,6020793254.797657,3979206745.202343,1421715.590548,610755.057709,306.681653,2030000.0,0.0,870000.0,870000.0,0.0,200000.0,0.0,100000.0,108440.2911834362,300000.0,False,False
30,1,0,0,ACELERADO,0.005013730794662096,0.0022897566468026965,0.0002442809257746932,20.524446510761926,6006831595.73241,3993168404.2675896,1470764.95018,631876.216213,327.835781,2100000.0,0.0,900000.0,900000.0,0.0,200000.0,0.0,100000.0,114683.29932707113,300000.0,False,False
31,1,0,0,ACELERADO,0.005244975905190884,0.002480415953795483,0.00025301457711395843,20.729935662278198,5993485490.5709505,4006514509.4290495,1519815.955989,653001.42535,349.695413,2170000.0,0.0,930000.0,930000.0,0.0,200000.0,0.0,100000.0,120466.54619949136,300000.0,False,False
32,1,0,0,ACELERADO,0.00545460077706747,0.002672298845619482,0.00026176231017813753,20.83799143335586,5980652287.397898,4019347712.6021023,1568868.608031,674130.685897,372.260573,2240000.0,0.0,960000.0,960000.0,0.0,200000.0,0.0,100000.0,125742.7479446232,300000.0,False,False
33,1,0,0,ACELERADO,0.00564240452075155,0.0028639185665957447,0.0002705261614638922,20.857149231774596,5968246228.998052,4031753771.0019484,1617922.90636,695263.998631,395.531285,2310000.0,0.0,990000.0,990000.0,0.0,200000.0,0.0,100000.0,130488.28245684366,300000.0,False,False
