day,stage,motor_b,throttle,throttle_name,price,ema30,p_kash,price_over_pkash,supply,tokens_burned_total,vault_core_usd,vault_sociedad_usd,r_op_usd,burned_total_usd,recirculated_total_usd,staking_total_usd,om_total_usd,deferred_queue_usd,fee_total_usd,users,buy_pressure,sell_pressure,lp_depth_usd,burn_cap_hit,kash_lock_hit
28,1,0,0,ACELERADO,0.00030156679042351887,0.00020201166980586796,5.8793967515929804e-05,5.12921313469467,7630134573.441385,2369865426.5586147,452980.399409,194580.52318,94.456881,646800.0,0.0,277200.0,277200.0,0.0,66000.0,0.0,33000.0,13462.692357381966,300000.0,True,False
29,1,0,0,ACELERADO,0.0003121511917795098,0.00020911744541707067,6.14885806208519e-05,5.076571757352513,7556420448.542655,2443579551.457345,469166.144867,201549.169033,101.204934,669900.0,0.0,287100.0,287100.0,0.0,66000.0,0.0,33000.0,13805.971162873462,300000.0,True,False
30,1,0,0,ACELERADO,0.0003229808966973738,0.00021646347453192893,6.423046955236667e-05,5.028468559365733,7484899190.671964,2515100809.3280363,485352.433545,208519.151339,108.185796,693000.0,0.0,297000.0,297000.0,0.0,66000.0,0.0,33000.0,14152.473891597887,300000.0,False,False
31,1,0,0,ACELERADO,0.00033405353574402006,0.00022404993009399936,6.700681634924916e-05,4.985366473805963,7415748597.942716,2584251402.0572844,501539.265462,215490.470354,115.399474,716100.0,0.0,306900.0,306900.0,0.0,66000.0,0.0,33000.0,14504.87671375607,300000.0,False,False
32,1,0,0,ACELERADO,0.0003453659917312444,0.00023187677278027326,6.981448114066707e-05,4.946910527564862,7348863031.462343,2651136968.537657,517726.640635,222463.126334,122.845977,739200.0,0.0,316800.0,316800.0,0.0,66000.0,0.0,33000.0,14863.542235989142,300000.0,False,False
33,1,0,0,ACELERADO,0.00035691457061135526,0.00023994372747905278,7.265267522298028e-05,4.912614291434406,7284141661.414513,2715858338.5854874,533914.559083,229437.119536,130.525312,762300.0,0.0,326700.0,326700.0,0.0,66000.0,0.0,33000.0,15228.284213748428,300000.0,False,False
34,1,0,0,ACELERADO,0.00036869499498742863,0.00024825026086668995,7.552063735086326e-05,4.882042947737572,7221488247.850307,2778511752.1496925,550103.020824,236412.450216,138.437487,785400.0,0.0,336600.0,336600.0,0.0,66000.0,0.0,33000.0,15598.897760136268,300000.0,False,False
35,1,0,0,ACELERADO,0.0003807024006544719,0.0002567955602078372,7.84176344876797e-05,4.854805977529003,7160810931.499561,2839189068.5004387,566292.025877,243389.118631,146.582509,808500.0,0.0,346500.0,346500.0,0.0,66000.0,0.0,33000.0,15975.159440057665,300000.0,False,False
36,1,0,0,ACELERADO,0.00039293133634601046,0.0002655785135070742,8.134296238666662e-05,4.830551098916186,7102022034.144583,2897977965.8554173,582481.574259,250367.125037,154.960387,831600.0,0.0,356400.0,356400.0,0.0,66000.0,0.0,33000.0,16356.82747352801,300000.0,False,False
37,1,0,0,ACELERADO,0.0004053757668357708,0.00027459769114118363,8.429594601519822e-05,4.808959220443213,7045037868.119289,2954962131.8807106,598671.665989,257346.469691,163.571128,854700.0,0.0,366300.0,366300.0,0.0,66000.0,0.0,33000.0,16743.642051811454,300000.0,False,False
