iteracion,vault_final_usd,supply_final,precio_luka_final,precio_kash_final,dia_activacion_b2,espiral_muerte,ruina_total,r_op_final
71,94956565.11,3300000000.0,0.02877472,0.02877472,524,0,0,1782206.99
72,97612603.41,3300000000.0,0.02957958,0.02957958,607,0,0,1913817.31
73,95051105.34,3300000000.0,0.02880337,0.02880337,400,0,0,1974349.97
74,163894999.81,3300000000.0,0.04966515,0.04966515,464,0,0,1914063.11
75,323514463.32,3703776804.0,0.08734718,0.08734718,391,0,0,2040991.85
76,95493008.11,3300000000.0,0.02893728,0.02893728,665,0,0,1777100.26
77,536623362.74,3300000000.0,0.16261314,0.16261314,419,0,0,2144788.98
78,95396631.69,3300000000.0,0.02890807,0.02890807,578,0,0,1892007.65
79,241933911.81,3300000000.0,0.07331331,0.07331331,440,0,0,1910743.76
80,97032211.75,3300000000.0,0.0294037,0.0294037,433,0,0,1997766.47
81,177104448.27,3300000000.0,0.05366801,0.05366801,638,0,0,1864850.1
82,326658437.62,3300000000.0,0.09898741,0.09898741,478,0,0,1932689.23
83,219193945.87,3300000000.0,0.06642241,0.06642241,454,0,0,2063076.28
84,109953608.17,3300000000.0,0.03331928,0.03331928,471,0,0,1850060.11
85,100388814.09,3300000000.0,0.03042085,0.03042085,677,0,0,1824362.59
86,123337220.77,3300000000.0,0.03737492,0.03737492,589,0,0,1850550.98
87,204165590.13,3300000000.0,0.06186836,0.06186836,509,0,0,1841893.21
88,736697122.75,3300000000.0,0.22324155,0.22324155,402,0,0,2059250.02
89,273567974.08,3300000000.0,0.08289939,0.08289939,517,0,0,1911318.39
90,1217795297.58,4343944896.0,0.28034317,0.28034317,378,0,0,2605827.28
91,179941789.59,3300000000.0,0.05452782,0.05452782,464,0,0,1907389.67
92,1150387252.87,3470132193.0,0.33151107,0.33151107,401,0,0,2712858.64
93,87346385.91,3300000000.0,0.0264686,0.0264686,650,0,0,1699840.35
94,114620159.49,3300000000.0,0.03473338,0.03473338,448,0,0,1844829.28
95,405874286.44,3300000000.0,0.12299221,0.12299221,432,0,0,2068079.4
96,230221470.68,3300000000.0,0.06976408,0.06976408,562,0,0,1803886.93
97,184371237.16,3300000000.0,0.05587007,0.05587007,549,0,0,1847542.13
98,139577174.37,3300000000.0,0.04229611,0.04229611,547,0,0,1861341.16
99,95941078.59,3300000000.0,0.02907305,0.02907305,501,0,0,1937308.32
100,99436033.43,3300000000.0,0.03013213,0.03013213,525,0,0,1830494.36
101,97064622.01,3300000000.0,0.02941352,0.02941352,557,0,0,1786430.13
102,248353505.53,3300000000.0,0.07525864,0.07525864,437,0,0,1920189.69
